Height: 49.8501, Sum: 1000
x	y	r
22.351	35.475	0.530
23.411	35.520	0.530
24.470	35.554	0.530
0.883	33.496	0.518
1.870	33.811	0.518
2.860	34.120	0.519
3.848	34.437	0.519
4.837	34.752	0.519
5.826	35.067	0.519
6.814	35.390	0.520
7.800	35.720	0.520
8.840	35.752	0.520
9.880	35.720	0.521
10.915	35.843	0.521
11.953	35.932	0.521
12.992	36.015	0.521
14.033	36.084	0.522
15.075	36.139	0.522
16.118	36.178	0.522
17.162	36.221	0.522
18.206	36.258	0.523
19.251	36.301	0.523
20.293	36.390	0.523
21.336	36.471	0.523
22.382	36.529	0.524
23.429	36.574	0.524
24.476	36.608	0.524
0.367	34.212	0.365
1.169	34.566	0.512
2.148	34.865	0.512
3.125	35.172	0.512
4.103	35.478	0.513
5.083	35.783	0.513
6.060	36.096	0.513
7.036	36.414	0.513
8.012	36.732	0.514
9.040	36.766	0.514
10.067	36.738	0.514
11.088	36.864	0.514
12.113	36.956	0.515
13.139	37.041	0.515
14.167	37.112	0.515
15.195	37.169	0.515
16.225	37.211	0.516
17.256	37.254	0.516
18.287	37.294	0.516
19.319	37.339	0.517
20.350	37.428	0.517
21.380	37.510	0.517
22.413	37.570	0.517
23.447	37.616	0.518
24.482	37.650	0.518
0.507	35.338	0.505
1.474	35.627	0.505
2.440	35.923	0.505
3.406	36.219	0.505
4.373	36.513	0.506
5.339	36.816	0.506
6.303	37.122	0.506
7.268	37.431	0.507
8.238	37.727	0.507
9.251	37.765	0.507
10.265	37.740	0.507
11.271	37.869	0.508
12.283	37.964	0.508
13.295	38.052	0.508
14.309	38.125	0.508
15.324	38.185	0.509
16.341	38.229	0.509
17.358	38.274	0.509
18.376	38.316	0.510
19.395	38.363	0.510
20.411	38.453	0.510
21.427	38.536	0.510
22.447	38.597	0.511
23.468	38.645	0.511
24.489	38.679	0.511
0.830	36.396	0.498
1.784	36.682	0.498
2.738	36.967	0.498
3.693	37.252	0.498
4.646	37.544	0.499
5.599	37.840	0.499
6.552	38.137	0.499
7.509	38.422	0.500
8.467	38.708	0.500
9.467	38.749	0.500
10.466	38.727	0.500
11.458	38.860	0.501
12.456	38.959	0.501
13.454	39.048	0.501
14.454	39.124	0.502
15.456	39.188	0.502
16.459	39.234	0.502
17.462	39.280	0.502
18.466	39.325	0.503
19.470	39.373	0.503
20.472	39.464	0.503
21.476	39.549	0.504
22.482	39.611	0.504
23.489	39.660	0.504
24.496	39.694	0.504
0.371	37.129	0.367
1.165	37.452	0.490
2.106	37.728	0.491
3.049	38.002	0.491
3.989	38.285	0.491
4.929	38.569	0.491
5.870	38.856	0.492
6.814	39.131	0.492
7.760	39.403	0.492
8.708	39.671	0.493
9.693	39.716	0.493
10.678	39.697	0.493
11.655	39.835	0.493
12.636	39.937	0.494
13.620	40.029	0.494
14.605	40.109	0.494
